key,value
Inequality in eduation (2010),23.73684
Inequality in eduation (2011),23.73684
Inequality in eduation (2012),23.73684
Inequality in eduation (2013),21.73491
Inequality in eduation (2014),21.73491
Inequality in eduation (2015),21.73491
Inequality in eduation (2016),21.73491
Inequality in eduation (2017),21.73491
Inequality in eduation (2018),20.43572
Inequality in eduation (2019),20.43572
Inequality in eduation (2020),20.43572
Inequality in eduation (2021),20.43572
Inequality in eduation (2022),20.43572
Inequality in income (2010),57.67596
Inequality in income (2011),57.67596
Inequality in income (2012),57.67596
Inequality in income (2013),57.67596
Inequality in income (2014),57.67596
Inequality in income (2015),63.39851
Inequality in income (2016),63.39851
Inequality in income (2017),63.39851
Inequality in income (2018),63.39851
Inequality in income (2019),63.39851
Inequality in income (2020),63.39851
Inequality in income (2021),63.39851
Inequality in income (2022),63.39851
GII Rank (2022),137
Gender Inequality Index (value) (1990),0.691
Gender Inequality Index (value) (1991),0.667
Gender Inequality Index (value) (1992),0.665
Gender Inequality Index (value) (1993),0.663
Gender Inequality Index (value) (1994),0.659
Gender Inequality Index (value) (1995),0.655
Gender Inequality Index (value) (1996),0.653
Gender Inequality Index (value) (1997),0.651
Gender Inequality Index (value) (1998),0.647
Gender Inequality Index (value) (1999),0.651
Gender Inequality Index (value) (2000),0.651
Gender Inequality Index (value) (2001),0.638
Gender Inequality Index (value) (2002),0.624
Gender Inequality Index (value) (2003),0.619
Gender Inequality Index (value) (2004),0.62
Gender Inequality Index (value) (2005),0.614
Gender Inequality Index (value) (2006),0.606
Gender Inequality Index (value) (2007),0.6
Gender Inequality Index (value) (2008),0.604
Gender Inequality Index (value) (2009),0.609
Gender Inequality Index (value) (2010),0.58
Gender Inequality Index (value) (2011),0.583
Gender Inequality Index (value) (2012),0.581
Gender Inequality Index (value) (2013),0.574
Gender Inequality Index (value) (2014),0.571
Gender Inequality Index (value) (2015),0.562
Gender Inequality Index (value) (2016),0.542
Gender Inequality Index (value) (2017),0.545
Gender Inequality Index (value) (2018),0.529
Gender Inequality Index (value) (2019),0.521
Gender Inequality Index (value) (2020),0.522
Gender Inequality Index (value) (2021),0.526
Gender Inequality Index (value) (2022),0.526
"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)",602.9901256
"Maternal Mortality Ratio (deaths per 100,000 live births) (1991)",607.2957373
"Maternal Mortality Ratio (deaths per 100,000 live births) (1992)",599.1928235
"Maternal Mortality Ratio (deaths per 100,000 live births) (1993)",576.1547062
"Maternal Mortality Ratio (deaths per 100,000 live births) (1994)",543.7471189
"Maternal Mortality Ratio (deaths per 100,000 live births) (1995)",523.1933123
"Maternal Mortality Ratio (deaths per 100,000 live births) (1996)",508.7163287
"Maternal Mortality Ratio (deaths per 100,000 live births) (1997)",500.6629083
"Maternal Mortality Ratio (deaths per 100,000 live births) (1998)",491.662891
"Maternal Mortality Ratio (deaths per 100,000 live births) (1999)",468.4201155
"Maternal Mortality Ratio (deaths per 100,000 live births) (2000)",418.6942063
"Maternal Mortality Ratio (deaths per 100,000 live births) (2001)",362.625051
"Maternal Mortality Ratio (deaths per 100,000 live births) (2002)",337.0826023
"Maternal Mortality Ratio (deaths per 100,000 live births) (2003)",308.1953022
"Maternal Mortality Ratio (deaths per 100,000 live births) (2004)",311.6951604
"Maternal Mortality Ratio (deaths per 100,000 live births) (2005)",309.2504196
"Maternal Mortality Ratio (deaths per 100,000 live births) (2006)",306.0922948
"Maternal Mortality Ratio (deaths per 100,000 live births) (2007)",295.8528877
"Maternal Mortality Ratio (deaths per 100,000 live births) (2008)",319.5807194
"Maternal Mortality Ratio (deaths per 100,000 live births) (2009)",326.5900995
"Maternal Mortality Ratio (deaths per 100,000 live births) (2010)",268.4940506
"Maternal Mortality Ratio (deaths per 100,000 live births) (2011)",232.7735454
"Maternal Mortality Ratio (deaths per 100,000 live births) (2012)",220.6309039
"Maternal Mortality Ratio (deaths per 100,000 live births) (2013)",191.353552
"Maternal Mortality Ratio (deaths per 100,000 live births) (2014)",168.8369291
"Maternal Mortality Ratio (deaths per 100,000 live births) (2015)",165.7262481
"Maternal Mortality Ratio (deaths per 100,000 live births) (2016)",155.3573057
"Maternal Mortality Ratio (deaths per 100,000 live births) (2017)",155.8233111
"Maternal Mortality Ratio (deaths per 100,000 live births) (2018)",144.8711455
"Maternal Mortality Ratio (deaths per 100,000 live births) (2019)",128.8400589
"Maternal Mortality Ratio (deaths per 100,000 live births) (2020)",134.6654218
"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)",134.6654218
"Maternal Mortality Ratio (deaths per 100,000 live births) (2022)",134.6654218
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1990)",150.216
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1991)",150.802
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1992)",150.525
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1993)",152.476
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1994)",153.7
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1995)",151.831
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1996)",153.561
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1997)",151.69
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1998)",154.74
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1999)",158.034
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2000)",158.291
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2001)",153.149
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2002)",149.341
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2003)",146.529
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2004)",144.502
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2005)",141.753
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2006)",139.452
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2007)",137.236
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2008)",135.444
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2009)",134.636
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2010)",133.273
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2011)",133.028
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2012)",132.467
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2013)",131.696
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2014)",130.447
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2015)",128.861
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2016)",129.067
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2017)",128.315
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2018)",124.849
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2019)",122.836
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2020)",119.009
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)",117.017
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2022)",116.091
"Share of seats in parliament, female (% held by women) (1990)",9.677419355
"Share of seats in parliament, female (% held by women) (1991)",9.677419355
"Share of seats in parliament, female (% held by women) (1992)",9.677419355
"Share of seats in parliament, female (% held by women) (1993)",9.677419355
"Share of seats in parliament, female (% held by women) (1994)",9.677419355
"Share of seats in parliament, female (% held by women) (1995)",9.677419355
"Share of seats in parliament, female (% held by women) (1996)",9.677419355
"Share of seats in parliament, female (% held by women) (1997)",9.677419355
"Share of seats in parliament, female (% held by women) (1998)",10.25641026
"Share of seats in parliament, female (% held by women) (1999)",10.12658228
"Share of seats in parliament, female (% held by women) (2000)",10.12658228
"Share of seats in parliament, female (% held by women) (2001)",10.12658228
"Share of seats in parliament, female (% held by women) (2002)",12.02531646
"Share of seats in parliament, female (% held by women) (2003)",12.02531646
"Share of seats in parliament, female (% held by women) (2004)",12.02531646
"Share of seats in parliament, female (% held by women) (2005)",12.65822785
"Share of seats in parliament, female (% held by women) (2006)",14.64968153
"Share of seats in parliament, female (% held by women) (2007)",15.18987342
"Share of seats in parliament, female (% held by women) (2008)",15.18987342
"Share of seats in parliament, female (% held by women) (2009)",14.01273885
"Share of seats in parliament, female (% held by women) (2010)",14.01273885
"Share of seats in parliament, female (% held by women) (2011)",11.46496815
"Share of seats in parliament, female (% held by women) (2012)",11.46496815
"Share of seats in parliament, female (% held by women) (2013)",11.46496815
"Share of seats in parliament, female (% held by women) (2014)",10.75949367
"Share of seats in parliament, female (% held by women) (2015)",12.65822785
"Share of seats in parliament, female (% held by women) (2016)",17.96407186
"Share of seats in parliament, female (% held by women) (2017)",17.96407186
"Share of seats in parliament, female (% held by women) (2018)",17.96407186
"Share of seats in parliament, female (% held by women) (2019)",17.96407186
"Share of seats in parliament, female (% held by women) (2020)",16.76646707
"Share of seats in parliament, female (% held by women) (2021)",15.06024096
"Share of seats in parliament, female (% held by women) (2022)",15.06024096
"Share of seats in parliament, male (% held by men) (1990)",90.32258065
"Share of seats in parliament, male (% held by men) (1991)",90.32258065
"Share of seats in parliament, male (% held by men) (1992)",90.32258065
"Share of seats in parliament, male (% held by men) (1993)",90.32258065
"Share of seats in parliament, male (% held by men) (1994)",90.32258065
"Share of seats in parliament, male (% held by men) (1995)",90.32258065
"Share of seats in parliament, male (% held by men) (1996)",90.32258065
"Share of seats in parliament, male (% held by men) (1997)",90.32258065
"Share of seats in parliament, male (% held by men) (1998)",89.74358974
"Share of seats in parliament, male (% held by men) (1999)",89.87341772
"Share of seats in parliament, male (% held by men) (2000)",89.87341772
"Share of seats in parliament, male (% held by men) (2001)",89.87341772
"Share of seats in parliament, male (% held by men) (2002)",87.97468354
"Share of seats in parliament, male (% held by men) (2003)",87.97468354
"Share of seats in parliament, male (% held by men) (2004)",87.97468354
"Share of seats in parliament, male (% held by men) (2005)",87.34177215
"Share of seats in parliament, male (% held by men) (2006)",85.35031847
"Share of seats in parliament, male (% held by men) (2007)",84.81012658
"Share of seats in parliament, male (% held by men) (2008)",84.81012658
"Share of seats in parliament, male (% held by men) (2009)",85.98726115
"Share of seats in parliament, male (% held by men) (2010)",85.98726115
"Share of seats in parliament, male (% held by men) (2011)",88.53503185
"Share of seats in parliament, male (% held by men) (2012)",88.53503185
"Share of seats in parliament, male (% held by men) (2013)",88.53503185
"Share of seats in parliament, male (% held by men) (2014)",89.24050633
"Share of seats in parliament, male (% held by men) (2015)",87.34177215
"Share of seats in parliament, male (% held by men) (2016)",82.03592814
"Share of seats in parliament, male (% held by men) (2017)",82.03592814
"Share of seats in parliament, male (% held by men) (2018)",82.03592814
"Share of seats in parliament, male (% held by men) (2019)",82.03592814
"Share of seats in parliament, male (% held by men) (2020)",83.23353293
"Share of seats in parliament, male (% held by men) (2021)",84.93975904
"Share of seats in parliament, male (% held by men) (2022)",84.93975904
"Labour force participation rate, female (% ages 15 and older) (1990)",31.91
"Labour force participation rate, female (% ages 15 and older) (1991)",55.8
"Labour force participation rate, female (% ages 15 and older) (1992)",55.97
"Labour force participation rate, female (% ages 15 and older) (1993)",56.14
"Labour force participation rate, female (% ages 15 and older) (1994)",56.31
"Labour force participation rate, female (% ages 15 and older) (1995)",56.49
"Labour force participation rate, female (% ages 15 and older) (1996)",56.66
"Labour force participation rate, female (% ages 15 and older) (1997)",56.83
"Labour force participation rate, female (% ages 15 and older) (1998)",57
"Labour force participation rate, female (% ages 15 and older) (1999)",50.97
"Labour force participation rate, female (% ages 15 and older) (2000)",44.93
"Labour force participation rate, female (% ages 15 and older) (2001)",47.46
"Labour force participation rate, female (% ages 15 and older) (2002)",48.75
"Labour force participation rate, female (% ages 15 and older) (2003)",46.27
"Labour force participation rate, female (% ages 15 and older) (2004)",43.92
"Labour force participation rate, female (% ages 15 and older) (2005)",45.36
"Labour force participation rate, female (% ages 15 and older) (2006)",45.24
"Labour force participation rate, female (% ages 15 and older) (2007)",45.82
"Labour force participation rate, female (% ages 15 and older) (2008)",45.13
"Labour force participation rate, female (% ages 15 and older) (2009)",44.65
"Labour force participation rate, female (% ages 15 and older) (2010)",59.1
"Labour force participation rate, female (% ages 15 and older) (2011)",56.01
"Labour force participation rate, female (% ages 15 and older) (2012)",52.91
"Labour force participation rate, female (% ages 15 and older) (2013)",49.82
"Labour force participation rate, female (% ages 15 and older) (2014)",46.72
"Labour force participation rate, female (% ages 15 and older) (2015)",43.63
"Labour force participation rate, female (% ages 15 and older) (2016)",40.53
"Labour force participation rate, female (% ages 15 and older) (2017)",37.44
"Labour force participation rate, female (% ages 15 and older) (2018)",52.31
"Labour force participation rate, female (% ages 15 and older) (2019)",52.39
"Labour force participation rate, female (% ages 15 and older) (2020)",54.64
"Labour force participation rate, female (% ages 15 and older) (2021)",54.16
"Labour force participation rate, female (% ages 15 and older) (2022)",54.16
"Labour force participation rate, male (% ages 15 and older) (1990)",62.15
"Labour force participation rate, male (% ages 15 and older) (1991)",70.5
"Labour force participation rate, male (% ages 15 and older) (1992)",70.14
"Labour force participation rate, male (% ages 15 and older) (1993)",69.79
"Labour force participation rate, male (% ages 15 and older) (1994)",69.43
"Labour force participation rate, male (% ages 15 and older) (1995)",69.07
"Labour force participation rate, male (% ages 15 and older) (1996)",68.71
"Labour force participation rate, male (% ages 15 and older) (1997)",68.36
"Labour force participation rate, male (% ages 15 and older) (1998)",68
"Labour force participation rate, male (% ages 15 and older) (1999)",67.54
"Labour force participation rate, male (% ages 15 and older) (2000)",67.07
"Labour force participation rate, male (% ages 15 and older) (2001)",66.99
"Labour force participation rate, male (% ages 15 and older) (2002)",67.95
"Labour force participation rate, male (% ages 15 and older) (2003)",66.16
"Labour force participation rate, male (% ages 15 and older) (2004)",65.04
"Labour force participation rate, male (% ages 15 and older) (2005)",65.71
"Labour force participation rate, male (% ages 15 and older) (2006)",65.76
"Labour force participation rate, male (% ages 15 and older) (2007)",66.06
"Labour force participation rate, male (% ages 15 and older) (2008)",65.87
"Labour force participation rate, male (% ages 15 and older) (2009)",65.84
"Labour force participation rate, male (% ages 15 and older) (2010)",65.6
"Labour force participation rate, male (% ages 15 and older) (2011)",63.94
"Labour force participation rate, male (% ages 15 and older) (2012)",62.27
"Labour force participation rate, male (% ages 15 and older) (2013)",60.61
"Labour force participation rate, male (% ages 15 and older) (2014)",58.94
"Labour force participation rate, male (% ages 15 and older) (2015)",57.28
"Labour force participation rate, male (% ages 15 and older) (2016)",55.61
"Labour force participation rate, male (% ages 15 and older) (2017)",53.95
"Labour force participation rate, male (% ages 15 and older) (2018)",65.25
"Labour force participation rate, male (% ages 15 and older) (2019)",67.47
"Labour force participation rate, male (% ages 15 and older) (2020)",67.85
"Labour force participation rate, male (% ages 15 and older) (2021)",66.36
"Labour force participation rate, male (% ages 15 and older) (2022)",66.36
Difference from HDI rank (2022),1
Planetary pressures-adjusted Human Development Index (value) (1990),0.412
Planetary pressures-adjusted Human Development Index (value) (1991),0.405
Planetary pressures-adjusted Human Development Index (value) (1992),0.402
Planetary pressures-adjusted Human Development Index (value) (1993),0.405
Planetary pressures-adjusted Human Development Index (value) (1994),0.401
Planetary pressures-adjusted Human Development Index (value) (1995),0.402
Planetary pressures-adjusted Human Development Index (value) (1996),0.404
Planetary pressures-adjusted Human Development Index (value) (1997),0.405
Planetary pressures-adjusted Human Development Index (value) (1998),0.405
Planetary pressures-adjusted Human Development Index (value) (1999),0.407
Planetary pressures-adjusted Human Development Index (value) (2000),0.413
Planetary pressures-adjusted Human Development Index (value) (2001),0.421
Planetary pressures-adjusted Human Development Index (value) (2002),0.428
Planetary pressures-adjusted Human Development Index (value) (2003),0.442
Planetary pressures-adjusted Human Development Index (value) (2004),0.453
Planetary pressures-adjusted Human Development Index (value) (2005),0.466
Planetary pressures-adjusted Human Development Index (value) (2006),0.478
Planetary pressures-adjusted Human Development Index (value) (2007),0.489
Planetary pressures-adjusted Human Development Index (value) (2008),0.5
Planetary pressures-adjusted Human Development Index (value) (2009),0.512
Planetary pressures-adjusted Human Development Index (value) (2010),0.52
Planetary pressures-adjusted Human Development Index (value) (2011),0.525
Planetary pressures-adjusted Human Development Index (value) (2012),0.538
Planetary pressures-adjusted Human Development Index (value) (2013),0.543
Planetary pressures-adjusted Human Development Index (value) (2014),0.546
Planetary pressures-adjusted Human Development Index (value) (2015),0.553
Planetary pressures-adjusted Human Development Index (value) (2016),0.553
Planetary pressures-adjusted Human Development Index (value) (2017),0.556
Planetary pressures-adjusted Human Development Index (value) (2018),0.56
Planetary pressures-adjusted Human Development Index (value) (2019),0.564
Planetary pressures-adjusted Human Development Index (value) (2020),0.561
Planetary pressures-adjusted Human Development Index (value) (2021),0.557
Planetary pressures-adjusted Human Development Index (value) (2022),0.561
Difference from HDI value (%) (1990),1.199040767
Difference from HDI value (%) (1991),1.459854015
Difference from HDI value (%) (1992),1.470588235
Difference from HDI value (%) (1993),1.699029126
Difference from HDI value (%) (1994),1.474201474
Difference from HDI value (%) (1995),1.228501229
Difference from HDI value (%) (1996),1.222493888
Difference from HDI value (%) (1997),1.219512195
Difference from HDI value (%) (1998),0.97799511
Difference from HDI value (%) (1999),1.213592233
Difference from HDI value (%) (2000),1.196172249
Difference from HDI value (%) (2001),1.17370892
Difference from HDI value (%) (2002),1.382488479
Difference from HDI value (%) (2003),1.339285714
Difference from HDI value (%) (2004),1.307189542
Difference from HDI value (%) (2005),1.271186441
Difference from HDI value (%) (2006),1.239669421
Difference from HDI value (%) (2007),1.212121212
Difference from HDI value (%) (2008),1.185770751
Difference from HDI value (%) (2009),1.348747592
Difference from HDI value (%) (2010),1.515151515
Difference from HDI value (%) (2011),1.685393258
Difference from HDI value (%) (2012),1.824817518
Difference from HDI value (%) (2013),1.985559567
Difference from HDI value (%) (2014),1.97486535
Difference from HDI value (%) (2015),1.776198934
Difference from HDI value (%) (2016),1.95035461
Difference from HDI value (%) (2017),2.112676056
Difference from HDI value (%) (2018),1.926444834
Difference from HDI value (%) (2019),1.742160279
Difference from HDI value (%) (2020),1.405975395
Difference from HDI value (%) (2021),1.415929204
Difference from HDI value (%) (2022),1.405975395
Carbon dioxide emissions per capita (production) (tonnes) (1990),0.313163469
Carbon dioxide emissions per capita (production) (tonnes) (1991),0.30224101
Carbon dioxide emissions per capita (production) (tonnes) (1992),0.300297102
Carbon dioxide emissions per capita (production) (tonnes) (1993),0.298153155
Carbon dioxide emissions per capita (production) (tonnes) (1994),0.282421406
Carbon dioxide emissions per capita (production) (tonnes) (1995),0.246691236
Carbon dioxide emissions per capita (production) (tonnes) (1996),0.206470015
Carbon dioxide emissions per capita (production) (tonnes) (1997),0.25775318
Carbon dioxide emissions per capita (production) (tonnes) (1998),0.243106644
Carbon dioxide emissions per capita (production) (tonnes) (1999),0.184757928
Carbon dioxide emissions per capita (production) (tonnes) (2000),0.180373619
Carbon dioxide emissions per capita (production) (tonnes) (2001),0.185008503
Carbon dioxide emissions per capita (production) (tonnes) (2002),0.186604981
Carbon dioxide emissions per capita (production) (tonnes) (2003),0.191401104
Carbon dioxide emissions per capita (production) (tonnes) (2004),0.1880669
Carbon dioxide emissions per capita (production) (tonnes) (2005),0.1939062
Carbon dioxide emissions per capita (production) (tonnes) (2006),0.18636658
Carbon dioxide emissions per capita (production) (tonnes) (2007),0.184993267
Carbon dioxide emissions per capita (production) (tonnes) (2008),0.198631195
Carbon dioxide emissions per capita (production) (tonnes) (2009),0.220774951
Carbon dioxide emissions per capita (production) (tonnes) (2010),0.226238438
Carbon dioxide emissions per capita (production) (tonnes) (2011),0.236397306
Carbon dioxide emissions per capita (production) (tonnes) (2012),0.282529442
Carbon dioxide emissions per capita (production) (tonnes) (2013),0.289872462
Carbon dioxide emissions per capita (production) (tonnes) (2014),0.309865557
Carbon dioxide emissions per capita (production) (tonnes) (2015),0.311726262
Carbon dioxide emissions per capita (production) (tonnes) (2016),0.349736617
Carbon dioxide emissions per capita (production) (tonnes) (2017),0.396009863
Carbon dioxide emissions per capita (production) (tonnes) (2018),0.415981415
Carbon dioxide emissions per capita (production) (tonnes) (2019),0.421686554
Carbon dioxide emissions per capita (production) (tonnes) (2020),0.430284374
Carbon dioxide emissions per capita (production) (tonnes) (2021),0.444879802
Carbon dioxide emissions per capita (production) (tonnes) (2022),0.444879802
Material footprint per capita (tonnes) (1990),3.0792
Material footprint per capita (tonnes) (1991),3.7814
Material footprint per capita (tonnes) (1992),3.587
Material footprint per capita (tonnes) (1993),4.1014
Material footprint per capita (tonnes) (1994),3.3826
Material footprint per capita (tonnes) (1995),2.7089
Material footprint per capita (tonnes) (1996),2.8102
Material footprint per capita (tonnes) (1997),2.8927
Material footprint per capita (tonnes) (1998),2.6409
Material footprint per capita (tonnes) (1999),2.8417
Material footprint per capita (tonnes) (2000),3.3466
Material footprint per capita (tonnes) (2001),3.2159
Material footprint per capita (tonnes) (2002),3.2406
Material footprint per capita (tonnes) (2003),3.3304
Material footprint per capita (tonnes) (2004),3.1282
Material footprint per capita (tonnes) (2005),3.1095
Material footprint per capita (tonnes) (2006),3.3011
Material footprint per capita (tonnes) (2007),3.3117
Material footprint per capita (tonnes) (2008),3.1912
Material footprint per capita (tonnes) (2009),3.3942
Material footprint per capita (tonnes) (2010),3.984
Material footprint per capita (tonnes) (2011),4.1319
Material footprint per capita (tonnes) (2012),4.4518
Material footprint per capita (tonnes) (2013),5.0055
Material footprint per capita (tonnes) (2014),5.0885
Material footprint per capita (tonnes) (2015),4.597
Material footprint per capita (tonnes) (2016),4.8321
Material footprint per capita (tonnes) (2017),5.1953
Material footprint per capita (tonnes) (2018),4.662
Material footprint per capita (tonnes) (2019),4.1381
Material footprint per capita (tonnes) (2020),3.0429
Material footprint per capita (tonnes) (2021),2.9866
Material footprint per capita (tonnes) (2022),2.9676
Survey,DHS
Year,2018
Multidimensional Poverty Index,0.232
Health,21.5
Education,25
Standard of living,53.5
Nutrition,18.5
Child mortality,3
Years of schooling,8.6
School attendance,16.4
Cooking fuel,11.4
Sanitation,9
Drinking water,6.9
Electricity,10.7
Housing,9.6
Assets,5.8
Period,2005-2009
Total,97.28
Women,95.85
Men,98.63
Share of people with no bias,2.72
Political,67.78
Educational,24.31
Economic,56.85
Physical integrity,90.35
